2025-04-15 19:34:53.606 | INFO     | database.db:get_user:93 - ID: 519300999| Username: anastasiiafesenko| Data: {'name': 'Anastasiia', 'username': 'anastasiiafesenko', 'balance': 0.0, 'language': 'RUS', 'is_ban': False}| Was already in the database
2025-04-15 19:36:16.560 | INFO     | __main__:run:173 - ***Bot started***
2025-04-15 19:36:19.141 | INFO     | database.db:refresh_user:53 - ID: 519300999 | Username: anastasiiafesenko Changed username in the database. Old: anastasiiafesenko
2025-04-15 19:36:19.142 | INFO     | database.db:get_user:93 - ID: 519300999| Username: anastasiiafesenko| Data: {'name': 'Anastasiia', 'username': 'anastasiiafesenko', 'balance': 0.0, 'language': 'RUS', 'is_ban': False}| Was already in the database
2025-04-15 19:37:29.372 | INFO     | __main__:run:173 - ***Bot started***
2025-04-15 19:37:31.603 | INFO     | database.db:refresh_user:53 - ID: 519300999 | Username: anastasiiafesenko Changed username in the database. Old: anastasiiafesenko
2025-04-15 19:37:31.603 | INFO     | database.db:get_user:93 - ID: 519300999| Username: anastasiiafesenko| Data: {'name': 'Anastasiia', 'username': 'anastasiiafesenko', 'balance': 0.0, 'language': 'RUS', 'is_ban': False}| Was already in the database
2025-04-15 19:39:38.507 | INFO     | __main__:run:173 - ***Bot started***
2025-04-15 19:39:41.380 | INFO     | database.db:refresh_user:53 - ID: 519300999 | Username: anastasiiafesenko Changed username in the database. Old: anastasiiafesenko
2025-04-15 19:39:41.381 | INFO     | database.db:get_user:93 - ID: 519300999| Username: anastasiiafesenko| Data: {'name': 'Anastasiia', 'username': 'anastasiiafesenko', 'balance': 0.0, 'language': 'RUS', 'is_ban': False}| Was already in the database
2025-04-15 19:39:55.946 | INFO     | database.db:refresh_user:53 - ID: 519300999 | Username: anastasiiafesenko Changed username in the database. Old: anastasiiafesenko
2025-04-15 19:39:55.949 | INFO     | database.db:get_user:93 - ID: 519300999| Username: anastasiiafesenko| Data: {'name': 'Anastasiia', 'username': 'anastasiiafesenko', 'balance': 0.0, 'language': 'RUS', 'is_ban': False}| Was already in the database
2025-04-15 19:46:12.599 | INFO     | database.db:refresh_user:53 - ID: 519300999 | Username: anastasiiafesenko Changed username in the database. Old: anastasiiafesenko
2025-04-15 19:46:12.618 | INFO     | database.db:get_user:93 - ID: 519300999| Username: anastasiiafesenko| Data: {'name': 'Anastasiia', 'username': 'anastasiiafesenko', 'balance': 0.0, 'language': 'RUS', 'is_ban': False}| Was already in the database
2025-04-15 19:48:10.831 | INFO     | __main__:run:171 - ***Bot started***
2025-04-15 19:48:14.672 | INFO     | database.db:refresh_user:53 - ID: 519300999 | Username: anastasiiafesenko Changed username in the database. Old: anastasiiafesenko
2025-04-15 19:48:14.674 | INFO     | database.db:get_user:93 - ID: 519300999| Username: anastasiiafesenko| Data: {'name': 'Anastasiia', 'username': 'anastasiiafesenko', 'balance': 0.0, 'language': 'RUS', 'is_ban': False}| Was already in the database
2025-04-15 19:49:30.847 | INFO     | database.db:refresh_user:53 - ID: 519300999 | Username: anastasiiafesenko Changed username in the database. Old: anastasiiafesenko
2025-04-15 19:49:30.919 | INFO     | database.db:get_user:93 - ID: 519300999| Username: anastasiiafesenko| Data: {'name': 'Anastasiia', 'username': 'anastasiiafesenko', 'balance': 0.0, 'language': 'RUS', 'is_ban': False}| Was already in the database
